#,symbol,entry,exit,days,in_px,out_px,net_pct,exit_reason
299,TVSSCS,2026-04-01,2026-06-19,79,95.5,140.3,45.91,Lean Score 49 fell below exit 60 (signal faded / re-rated)
300,UJJIVANSFB,2026-04-01,2026-06-19,79,53.6,57.3,5.81,Lean Score dropped 18 from peak 79 (trail 15)
301,WIPRO,2026-04-01,2026-06-19,79,191.2,180.8,-6.43,still open (marked to last close)
302,BPCL,2026-04-02,2026-06-19,78,278.1,306.6,9.23,still open (marked to last close)
303,EDELWEISS,2026-04-02,2026-06-19,78,106.0,124.7,16.7,still open (marked to last close)
304,GNFC,2026-04-02,2026-06-19,78,398.7,567.6,41.38,still open (marked to last close)
305,IOC,2026-04-02,2026-06-19,78,134.1,143.4,5.93,still open (marked to last close)
306,JKTYRE,2026-04-02,2026-06-19,78,388.9,401.3,2.18,still open (marked to last close)
307,KAJARIACER,2026-04-02,2026-06-19,78,974.0,1170.4,19.16,Lean Score 57 fell below exit 60 (signal faded / re-rated)
308,KNRCON,2026-04-02,2026-06-19,78,121.1,140.9,15.34,still open (marked to last close)
309,BOMDYEING,2026-04-06,2026-06-19,74,102.5,135.0,30.64,Lean Score 46 fell below exit 60 (signal faded / re-rated)
310,SURYAROSNI,2026-04-07,2026-06-19,73,208.5,266.3,26.75,still open (marked to last close)
311,AIAENG,2026-04-08,2026-06-19,72,3674.5,4687.0,26.55,still open (marked to last close)
312,MANAPPURAM,2026-04-08,2026-06-19,72,269.6,318.6,17.22,Lean Score 46 fell below exit 60 (signal faded / re-rated)
313,SAIL,2026-04-08,2026-06-19,72,164.4,180.1,8.51,still open (marked to last close)
314,MRPL,2026-04-13,2026-05-29,46,170.8,145.0,-16.15,Stop-loss hit (down -15%)
315,GAEL,2026-04-16,2026-06-19,64,152.4,160.0,3.96,still open (marked to last close)
316,IIFLCAPS,2026-04-16,2026-06-19,64,296.8,344.4,15.03,still open (marked to last close)
317,INDOTHAI,2026-04-16,2026-05-25,39,290.6,238.9,-18.79,Stop-loss hit (down -18%)
318,SCI,2026-04-16,2026-06-19,64,288.9,312.1,7.04,still open (marked to last close)
319,SENCO,2026-04-16,2026-06-19,64,324.6,340.4,3.88,still open (marked to last close)
320,ANGELONE,2026-04-20,2026-06-19,60,319.2,353.7,9.82,still open (marked to last close)
321,NETWORK18,2026-04-20,2026-06-01,42,35.9,30.2,-16.97,Stop-loss hit (down -16%)
322,ARE&M,2026-04-23,2026-06-19,57,913.3,844.6,-8.52,still open (marked to last close)
323,SWSOLAR,2026-04-23,2026-06-01,39,219.7,182.0,-18.14,Stop-loss hit (down -17%)
324,LTM,2026-04-24,2026-06-19,56,4282.3,3832.5,-11.5,still open (marked to last close)
325,EQUITASBNK,2026-04-27,2026-06-19,53,67.3,77.2,13.72,Lean Score 42 fell below exit 60 (signal faded / re-rated)
326,MUTHOOTFIN,2026-04-27,2026-06-08,42,3493.8,2964.7,-16.14,Stop-loss hit (down -15%)
327,PETRONET,2026-04-27,2026-06-19,53,279.9,288.7,2.14,still open (marked to last close)
328,RBLBANK,2026-04-27,2026-06-19,53,312.8,378.9,20.12,still open (marked to last close)
329,SUNTECK,2026-04-27,2026-05-18,21,355.4,301.6,-16.11,Stop-loss hit (down -15%)
330,THELEELA,2026-04-27,2026-06-19,53,426.9,494.2,14.76,still open (marked to last close)
331,TMB,2026-04-27,2026-06-19,53,697.3,780.6,10.95,still open (marked to last close)
332,CANFINHOME,2026-04-28,2026-06-19,52,883.3,885.4,-0.77,still open (marked to last close)
333,OBEROIRLTY,2026-04-28,2026-06-19,52,1710.3,1683.5,-2.57,still open (marked to last close)
